Jugador,Posicion_Ranking,PuntosATP,Ranking_Efectividad_Saque,Efectividad_al_saque,Primer_Servicio_Saque_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido,Ranking_Efectividad_Resto,Efectividad_al_resto,Restos_Primer_Saque_pct,Restos_Segundo_Saque_pct,Games_Resto_pct,Break_Points_Covertidos_pct
Djokovic,1,11540,8,288.1,64.9,76.5,54.2,87.0,8.1,2.6,2,171.0,35.8,55.3,34.6,45.3
Medvedev,2,8640,10,285.8,61.8,78.4,52.7,86.9,9.3,3.3,5,165.3,33.1,55.7,30.6,45.9
Zverev,3,7840,6,290.0,67.8,77.3,52.1,86.2,10.4,3.8,11,153.5,31.2,53.6,27.3,41.4
Tsitsipas,4,6540,7,288.5,62.8,76.1,57.1,87.8,6.8,2.1,18,150.6,31.4,51.2,25.3,42.7
Rublev,5,5150,15,279.7,60.4,76.8,51.5,85.4,7.5,1.9,9,154.2,30.2,54.5,25.9,43.6
Nadal,6,4875,22,275.9,64.2,72.7,54.0,83.7,4.0,2.7,1,171.4,34.3,57.3,35.6,44.2
Berrettini,7,4568,3,295.9,64.3,79.1,52.8,89.8,11.5,1.6,54,137.6,30.0,46.7,20.6,40.3
Ruud,8,4160,13,282.4,63.8,73.6,56.7,85.3,4.9,1.9,8,155.3,29.9,53.8,26.7,44.9
Hurkacz,9,3706,9,286.2,63.4,75.3,53.6,85.7,9.9,1.7,72,132.6,28.4,48.9,19.8,35.5
Sinner,10,3350,35,268.4,59.6,71.0,54.2,80.8,4.8,2.0,10,153.6,31.4,52.2,26.2,43.8
Auger-aliassime,11,3308,17,278.1,62.9,76.7,50.3,83.3,9.1,4.2,50,139.0,30.7,49.4,21.7,37.2
Norrie,12,2945,32,270.1,65.8,71.3,49.8,81.1,4.8,2.7,7,157.8,31.7,52.9,28.0,45.2
Schwartzman,13,2625,66,255.6,63.6,67.6,50.2,75.5,1.5,2.8,4,169.3,35.3,54.8,33.8,45.4
