Posicion_Ranking,Jugador,PuntosATP
1,Djokovic,11540
2,Medvedev,8640
3,Zverev,7840
4,Tsitsipas,6540
5,Rublev,5150
6,Nadal,4875
7,Berrettini,4568
8,Ruud,4160
9,Hurkacz,3706
10,Sinner,3350
11,Auger-aliassime,3308
12,Norrie,2945
13,Schwartzman,2625
14,Shapovalov,2475
17,Garin,2353
18,Karatsev,2351
19,Bautista agut,2260
20,Carreno busta,2230
21,Monfils,2158
22,Basilashvili,2101
23,Fritz,2050
24,Isner,1991
25,Evans,1942
26,Opelka,1936
27,Sonego,1825
28,Dimitrov,1801
29,Khachanov,1731
30,Cilic,1710
31,Harris,1644
32,Alcaraz,1612
33,Lajovic,1591
34,De minaur,1561
35,Humbert,1558
36,Bublik,1538
37,Fognini,1494
38,Tiafoe,1492
40,Fucsovics,1459
41,Korda,1426
42,Krajinovic,1402
43,Paul,1349
44,Delbonis,1327
45,Ramos-vinolas,1294
46,Paire,1245
47,Nishikori,1210
48,Ivashka,1194
49,Duckworth,1176
50,Davidovich fokina,1160
51,Struff,1134
52,Djere,1131
53,Kwon,1115
54,Koepfer,1101
55,Mcdonald,1084
56,Brooksby,1063
57,Van de zandschulp,1034
58,Rinderknech,1029
59,Musetti,1004
60,Martinez,1001
61,Popyrin,1000
62,Mager,978
63,Coria,976
66,Giron,929
68,Nakashima,917
69,Kecmanovic,916
71,Mannarino,879
72,Millman,875
73,Coric,874
75,Thompson,860
77,Munar,848
78,Travaglia,846
81,Nishioka,823
88,Molcan,806
93,Kyrgios,793
94,Ymer,782
95,Ruusuvuori,778
99,Baez,762
100,Cecchinato,759
103,Rune,740
104,Berankis,739
107,Chardy,718
109,Bedene,715
112,Cressy,683
113,Gerasimov,665
127,Cerundolo,582
134,Murray,521
