Ranking_Efectividad_Saque,Jugador,Efectividad_al_saque,Primer_Servicio_pct,Puntos_Ganados_Primer_Saque_pct,Puntos_Ganados_Segundo_Saque_pct,Games_Ganados_Saque_pct,Prom_AcesxPartido,Prom_DoblexPartido
1,Isner,314.8,68.7,79.3,56.0,92.2,20.6,2.0
2,Opelka,300.6,65.7,77.1,54.8,88.3,17.1,2.4
3,Berrettini,295.9,64.3,79.1,52.8,89.8,11.5,1.6
4,Kyrgios,293.7,67.7,77.1,51.3,85.6,14.4,2.4
5,Coric,293.0,66.7,76.2,57.3,85.8,9.0,2.0
6,Zverev,290.0,67.8,77.3,52.1,86.2,10.4,3.8
7,Tsitsipas,288.5,62.8,76.1,57.1,87.8,6.8,2.1
8,Djokovic,288.1,64.9,76.5,54.2,87.0,8.1,2.6
9,Hurkacz,286.2,63.4,75.3,53.6,85.7,9.9,1.7
10,Medvedev,285.8,61.8,78.4,52.7,86.9,9.3,3.3
11,Harris,284.7,66.4,76.3,49.0,83.9,11.4,2.3
12,Cressy,284.2,61.1,79.2,50.6,85.0,16.7,8.4
13,Ruud,282.4,63.8,73.6,56.7,85.3,4.9,1.9
14,Humbert,280.3,63.2,75.3,52.1,83.9,8.9,3.1
15,Rublev,279.7,60.4,76.8,51.5,85.4,7.5,1.9
16,Nakashima,279.1,59.2,76.4,54.2,84.1,7.4,2.2
17,Auger-aliassime,278.1,62.9,76.7,50.3,83.3,9.1,4.2
18,Rinderknech,277.8,63.9,75.6,47.7,83.0,10.0,2.4
19,Carreno busta,277.2,68.7,70.6,53.9,81.6,3.9,1.5
20,Sonego,276.7,66.2,72.1,51.4,82.7,6.2,1.9
21,Ivashka,276.7,61.1,73.6,54.3,83.0,7.1,2.4
22,Nadal,275.9,64.2,72.7,54.0,83.7,4.0,2.7
23,Popyrin,274.9,59.2,74.7,52.4,82.9,9.5,3.8
24,Khachanov,274.1,62.8,72.3,52.5,81.5,7.4,2.4
25,Fritz,274.0,58.9,75.1,51.5,82.1,9.5,3.1
26,Shapovalov,273.0,59.6,76.7,50.2,84.5,7.9,5.9
27,Tiafoe,271.3,60.6,71.7,52.8,81.6,7.1,2.5
28,Dimitrov,271.1,64.4,73.5,50.8,80.9,5.0,3.5
29,Korda,270.8,65.0,71.5,50.5,80.9,5.4,2.5
30,Van de zandschulp,270.1,62.1,75.0,48.8,81.6,7.0,4.4
31,Cilic,270.1,58.1,77.1,47.6,80.3,11.0,4.0
32,Norrie,270.1,65.8,71.3,49.8,81.1,4.8,2.7
33,Mcdonald,269.9,64.7,69.8,52.2,79.3,6.3,2.4
34,Brooksby,268.8,64.7,70.6,51.8,80.4,2.5,1.2
35,Sinner,268.4,59.6,71.0,54.2,80.8,4.8,2.0
36,Bublik,268.3,57.3,77.0,45.9,81.2,13.6,6.7
37,Bautista agut,267.7,66.2,69.3,52.3,78.3,3.3,1.7
