ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3,Basilashvili,Arnaboldi,40,267,1395,206,4,6,7,5,6,1,0,0,0,0,2,1,Completed,GEO,2008,79,185,Right-Handed,ITA,2006,72,180,Left-Handed
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3,Ruusuvuori,Vesely,87,67,806,928,6,3,7,6,0,0,0,0,0,0,2,0,Completed,FIN,2018,79,188,Right-Handed,CZE,2009,92,198,Left-Handed
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3,Bublik,Caruso,49,76,1090,858,6,3,6,3,0,0,0,0,0,0,2,0,Completed,KAZ,2014,76,196,Right-Handed,ITA,2010,80,185,Right-Handed
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3,Travaglia,Kecmanovic,75,42,869,1328,1,6,6,4,6,0,0,0,0,0,2,1,Completed,ITA,2008,80,185,Right-Handed,SRB,2017,75,183,Right-Handed
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Struff,Kotov,37,269,1450,205,6,4,6,3,0,0,0,0,0,0,2,0,Completed,GER,2009,87,196,Right-Handed,RUS,2016,86,191,Right-Handed
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Lamasine,Gerasimov,271,78,204,840,7,6,6,2,0,0,0,0,0,0,2,0,Completed,FRA,2010,69,183,Right-Handed,BLR,2010,84,183,Right-Handed
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Grenier,Molcan,250,313,220,145,7,5,6,4,0,0,0,0,0,0,2,0,Completed,FRA,2012,85,196,Right-Handed,SVK,2018,73,178,Right-Handed
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Berrettini,Kirkin,10,446,3085,83,6,0,6,4,0,0,0,0,0,0,2,0,Completed,ITA,2015,95,196,Right-Handed,TUR,2014,75,180,Right-Handed
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Chardy,Albot,72,85,880,817,6,3,6,4,0,0,0,0,0,0,2,0,Completed,FRA,2005,75,188,Right-Handed,MDA,2008,69,175,Right-Handed
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Fognini,Vrbensky,17,311,2400,148,6,4,7,6,0,0,0,0,0,0,2,0,Completed,ITA,2004,74,178,Right-Handed,unknown,2005,86,188,unknown
